,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall
26,"[500, 50]",0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.535031847133758,0.5197001754066541,0.6026592278898191,0.5401405827954442,0.7305357379105827
27,"[500, 50]",0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5307855626326965,0.5126602680188338,0.6865603189664264,0.526898421712327,0.9880478087649402
28,"[500, 50]",0.01,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5065817409766454,0.5,0.6810232215308559,0.5164543524416136,0.8
29,"[500, 50]",0.01,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5222929936305734,0.5039040502490795,0.6754295916052626,0.5222208869126307,0.9613168724279836
30,"[500, 50]",0.01,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5002123142250531,0.5147375181302363,0.25558161034223953,0.623978315262719,0.20167209402775438
31,"[500, 50]",0.01,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5333333333333333,0.5307886291664561,0.5019066485231163,0.5640282265796411,0.5932532770887272
32,"[500, 50]",0.01,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5176220806794055,0.5110597403530976,0.4837243036907591,0.5380161548995834,0.5638653574965659
33,"[500, 50]",0.01,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5116772823779193,0.5203634502986344,0.5453112887486495,0.5510222893704095,0.4970933995953469
34,"[500, 50]",0.01,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5316348195329087,0.5234925274206398,0.5563042658517334,0.5351683495970752,0.6715476041901411
35,"[500, 50]",0.01,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5171974522292994,0.5206950085220025,0.43545458919378344,0.573671504871579,0.45719989854149257
36,"[500, 50]",0.0001,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5197452229299364,0.5,0.6838767489698371,0.5197452229299364,1.0
37,"[500, 50]",0.0001,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5197452229299364,0.5,0.6838767489698371,0.5197452229299364,1.0
38,"[500, 50]",0.0001,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5197452229299364,0.5,0.6838767489698371,0.5197452229299364,1.0
39,"[500, 50]",0.0001,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5494692144373673,0.54199166365916,0.617351830931927,0.5717115595298274,0.565186649102404
40,"[500, 50]",0.0001,0.001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5197452229299364,0.5,0.6838767489698371,0.5197452229299364,1.0
41,"[500, 50]",0.0001,0.001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.513375796178344,0.5,0.6846778689854056,0.5207006369426752,0.8
42,"[500, 50]",0.0001,0.001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.4985138004246285,0.5032489122309126,0.4135425566577659,0.42257951459903775,0.45835844869731035
43,"[500, 50]",0.0001,0.001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5235668789808917,0.5236810373114872,0.5200732485498127,0.5587843753132964,0.5330464962970921
44,"[500, 50]",0.0001,0.0001,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5384288747346072,0.5334642605817844,0.6015392716997999,0.5724883626618712,0.5636907346150861
45,"[500, 50]",0.0001,0.0001,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5265392781316348,0.5214019900449529,0.5388517346341534,0.5490897028256521,0.5738698742683228
46,"[500, 50]",0.0001,0.0001,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5337579617834395,0.5311587461661371,0.545898239826331,0.5428570723149283,0.6298857482539636
47,"[500, 50]",0.0001,0.0001,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5477707006369428,0.5402977759520655,0.5998972871891721,0.5600035241577754,0.6891505212210581
48,[1024],0.01,0.01,True,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5312101910828025,0.5208879400655657,0.6480201154260917,0.5366135334776392,0.8585839108101301
49,[1024],0.01,0.01,True,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5401273885350318,0.5409773947484416,0.59248560045651,0.5772218963932447,0.5402188231429205
50,[1024],0.01,0.01,False,True,100,0.95,50,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5146496815286624,0.5149746356890162,0.5360038853944826,0.5490977254697696,0.48013696898508496
51,[1024],0.01,0.01,False,True,100,0.95,75,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.5235668789808916,0.5202663109967396,0.6554960456397954,0.5513160206418262,0.4969884242557329
