,hidden_layers,l2_beta,learning_rate,dropout,decay,decay_steps,decay_rate,batch_size,optimizer,val_acc,val_auc,val_f1,val_precision,val_recall,train_nan_percent,val_nan_percent
0,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7477220061412874,0.7477750511655359,0.7711979014500512,0.7063279398308767,0.8520240859479152,0.0,0.0
1,"[10, 15, 10]",0.01,0.01,True,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7684874756962012,0.768485905518291,0.7891866288805541,0.7247852708146365,0.8664761015359504,0.0,0.0
2,"[10, 15, 10]",0.01,0.01,False,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8285266674144154,0.8283834182355123,0.8385243058000864,0.792637427493567,0.8910928212856554,0.0,0.0
3,"[10, 15, 10]",0.01,0.01,False,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8373018540552334,0.8373254850366069,0.8452719518655432,0.8057878119363673,0.8889625229717835,0.0,0.0
4,"[10, 15, 10]",0.01,0.001,True,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6644004188776431,0.664138828504561,0.6243314748048779,0.7041328779102278,0.5645006060476747,0.0,0.0
5,"[10, 15, 10]",0.01,0.001,True,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6558392556573339,0.6554125428961719,0.6018926955442974,0.7082990167004404,0.5291229131933154,0.0,0.0
6,"[10, 15, 10]",0.01,0.001,False,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7521957069097925,0.7522849541043574,0.7622292458662576,0.732350754671004,0.7951821179453483,0.0,0.0
7,"[10, 15, 10]",0.01,0.001,False,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7472426419780035,0.7473249720080852,0.7544741724679966,0.7342556805218201,0.7770675660343124,0.0,0.0
8,"[10, 15, 10]",0.0001,0.01,True,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7758715572703674,0.775786530209978,0.7967747717233176,0.7287409438065333,0.8793786243431972,0.0,0.0
9,"[10, 15, 10]",0.0001,0.01,True,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7827777462809328,0.7829158051243063,0.8008435639122474,0.7411251671313436,0.8764057579161957,0.0,0.0
10,"[10, 15, 10]",0.0001,0.01,False,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.841560088103541,0.8414688879792045,0.8490862259723482,0.8110890816419382,0.8913954226947822,0.0,0.0
11,"[10, 15, 10]",0.0001,0.01,False,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.8427758369746778,0.8427662901379751,0.8507325499568991,0.8099609070112598,0.896125981635616,0.0,0.0
12,"[10, 15, 10]",0.0001,0.001,True,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6442820569831698,0.6445555756442775,0.5862670711810013,0.6933475144277462,0.5221157501305995,0.0,0.0
13,"[10, 15, 10]",0.0001,0.001,True,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.6450632500146924,0.6447210431028763,0.6064910769584333,0.6758687562789326,0.562774599128326,0.0,0.0
14,"[10, 15, 10]",0.0001,0.001,False,True,100,0.95,600,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7338605181974149,0.7339606341772147,0.738018241988604,0.7270637402213208,0.749803229742598,0.0,0.0
15,"[10, 15, 10]",0.0001,0.001,False,True,100,0.95,700,<class 'tensorflow.python.training.adam.AdamOptimizer'>,0.7322102983866456,0.732219145335663,0.7380767472395091,0.722183447508844,0.7547970440262677,0.0,0.0
